name,category,phyAtk,magAtk,fireAtk,ligtAtk,holyAtk,critAtk,sorAtk,incAtk,phyGuard,magGuard,fireGuard,ligtGuard,holyGuard,boostGuard,strScale,dexScale,intScale,faiScale,arcScale,strReq,dexReq,intReq,faiReq,arcReq,damageTypes,weaponSkill,fpCost,weight,passive,poison,hemorrhage,frostbite,scarletRot,sleep,madness,deathBlight,upgradeType,url
"Obsidian Lamina","Reaper","120","0","0","0","0","100","0","0","42","28","28","28","28","28","E","C","-","-","D","12","25","-","-","17","Slash","Dynastic Sickleplay","7","6.5","-","-","55","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Obsidian+Lamina"
"Whip","Whip","103","0","0","0","0","100","0","0","25","15","15","15","15","15","D","D","-","-","-","8","14","-","-","-","Strike","Kick","0","2.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Whip"
"Thorned Whip","Whip","102","0","0","0","0","100","0","0","26","15","15","15","15","15","E","C","-","-","-","8","16","-","-","-","Strike","Kick","0","2.5","-","-","50","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Thorned+Whip"
"Urumi","Whip","101","0","0","0","0","100","0","0","27","16","16","16","16","15","E","C","-","-","-","10","19","-","-","-","Slash","Kick","0","3.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Urumi"
"Hoslow's Petal Whip","Whip","110","0","0","0","0","100","0","0","28","17","17","17","17","17","D","D","-","-","-","10","20","-","-","-","Strike","Kick","0","3.5","-","-","55","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Hoslow's+Petal+Whip"
"Magma Whip Candlestick","Whip","72","0","72","0","0","100","0","0","21","10","36","10","10","15","E","D","-","D","-","8","16","-","18","-","Strike","Sea of Magma","5","2.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Magma+Whip+Candlestick"
"Giant's Red Braid","Whip","82","0","53","0","0","100","0","0","24","12","26","12","12","15","D","D","-","D","-","18","12","-","21","-","Strike","Flame Dance","25","2.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Giant's+Red+Braid"
"Tooth Whip","Whip","109","0","0","0","0","100","0","0","27","16","16","16","16","16","E","D","-","-","-","10","24","-","-","-","Strike","Painful Strike","16","3.0","-","66","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Tooth+Whip"
"Caestus","Fist","90","0","0","0","0","100","0","0","35","20","20","20","20","20","D","D","-","-","-","8","8","-","-","-","Strike","Endure","9","1.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Caestus"
"Spiked Caestus","Fist","91","0","0","0","0","100","0","0","35","20","20","20","20","20","D","D","-","-","-","8","10","-","-","-","Strike","Endure","9","2","-","-","45","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Spiked+Caestus"
"Katar","Fist","97","0","0","0","0","110","0","0","36","21","21","21","21","21","D","D","-","-","-","8","10","-","-","-","Slash / Pierce","Impaling Thrust","14","2.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Katar"
"Iron Ball","Fist","101","0","0","0","0","100","0","0","38","22","22","22","22","22","D","E","-","-","-","11","8","-","-","-","Strike","Endure","0","2.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Iron+Ball"
"Star Fist","Fist","105","0","0","0","0","100","0","0","41","23","23","23","23","23","D","E","-","-","-","12","8","-","-","-","Strike","Endure","9","3","-","-","45","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Star+Fist"
"Clinging Bone","Fist","80","24","0","0","0","100","0","0","31","36","17","17","17","21","E","C","-","-","D","8","22","-","-","16","Slash/Pierce","Lifesteal Fist","14","3","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Clinging+Bone"
"Veteran's Prosthesis","Fist","83","0","0","53","0","100","0","0","30","20","20","48","20","24","D","D","-","-","-","15","12","-","-","-","Slash/Pierce","Storm Kick","10","4","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Veteran's+Prosthesis"
"Cipher Pata","Fist","0","0","0","0","85","100","0","0","9","14","14","14","61","19","-","-","-","C","-","-","-","-","30","-","Slash/Pierce","Unblockable Blade","17","0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Cipher+Pata"
"Grafted Dragon","Fist","89","0","57","0","0","100","0","0","27","18","44","18","18","22","D","D","-","D","-","20","14","-","16","-","Strike","Bear Witness!","20","2.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Grafted+Dragon"
"Pata","Fist","104","0","0","0","0","110","0","0","45","26","26","26","26","26","D","D","-","-","-","11","15","-","-","-","Standard/Pierce","Impaling Thrust","9","4.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Pata"
"Golem Fist","Fist","110","0","0","0","0","100","0","0","58","24","24","24","24","36","C","E","E","E","-","24","8","11","11","-","Strike","Endure","9","5.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Golem+Fist"
"Madding Hand","Fist","53","0","63","0","0","100","0","0","20","15","42","15","15","19","D","E","E","E","-","8","8","13","20","-","Strike","Madding Spear-Hand Strike","13","1.0","-","-","-","-","-","-","55","-","Somber","https://eldenring.wiki.fextralife.com/Madding+Hand"
"Thiollier's Hidden Needle","Fist","70","45","0","0","0","100","0","0","28","27","16","16","16","18","E","C","D","-","-","10","22","15","-","-","Pierce","Sleep Evermore","16","0.5","-","-","-","-","-","42","-","-","Somber","https://eldenring.wiki.fextralife.com/Thiollier's+Hidden+Needle"
"Poisoned Hand","Fist","76","0","0","0","0","100","0","0","33","19","19","19","19","19","E","-","-","-","C","8","8","-","-","28","Strike","Poison Spear-Hand Strike","13","1.0","-","36","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Poisoned+Hand"
"Hookclaws","Claw","93","0","0","0","0","110","0","0","35","20","20","20","20","20","E","C","-","-","-","8","14","-","-","-","Slash/Pierce","Quickstep","3","2.0","-","-","60","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Hookclaws"
"Bloodhound Claws","Claw","99","0","0","0","0","110","0","0","38","22","22","22","22","22","D","D","-","-","-","10","15","-","-","-","Slash/Pierce","Bloodhound's Step","5","3.0","-","-","60","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Bloodhound+Claws"
"Venomous Fang","Claw","97","0","0","0","0","100","0","0","36","21","21","21","21","19","D","D","-","-","-","9","9","-","-","-","Slash/Pierce","Quickstep","3","2.5","-","72","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Venomous+Fang"
"Raptor Talons","Claw","86","0","0","0","0","110","0","0","33","19","19","19","19","19","E","C","-","-","-","6","14","-","-","-","Slash/Pierce","Quickstep","3","1.5","-","-","60","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Raptor+Talons"
"Shortbow","Light Bow","65","0","0","0","0","100","0","0","0","0","0","0","0","0","E","E","-","-","-","8","10","-","-","-","Pierce","Barrage","2","2.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Shortbow"
"Composite Bow","Light Bow","65","0","0","0","0","100","0","0","0","0","0","0","0","0","E","D","-","-","-","15","15","-","-","-","Pierce","Mighty Shot","6","3.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Composite+Bow"
"Red Branch Shortbow","Light Bow","65","0","0","0","0","100","0","0","0","0","0","0","0","0","E","D","-","-","-","8","16","-","-","-","Pierce","Barrage","2","2.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Red+Branch+Shortbow"
"Misbegotten Shortbow","Light Bow","68","0","0","0","0","100","0","0","0","0","0","0","0","0","D","E","-","-","-","16","8","-","-","-","Pierce","Barrage","2","3","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Misbegotten+Shortbow"
"Harp Bow","Light Bow","62","0","0","0","0","100","0","0","0","0","0","0","0","0","E","E","-","-","-","9","9","-","-","-","Pierce","Barrage","2","2","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Harp+Bow"
"Bone Bow","Light Bow","66","0","0","0","0","100","0","0","0","0","0","0","0","0","E","E","-","-","-","8","11","-","-","-","Pierce","Rancor Shot","3","3.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Bone+Bow"
"Longbow","Bow","80","0","0","0","0","100","0","0","0","0","0","0","0","0","E","D","-","-","-","9","14","-","-","-","Pierce","Mighty Shot","6","4.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Longbow"
"Albinauric Bow","Bow","82","0","0","0","0","100","0","0","0","0","0","0","0","0","E","D","-","-","-","7","18","-","-","-","Pierce","Mighty Shot","6","4.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Albinauric+Bow"
"Black Bow","Bow","70","0","0","0","0","100","0","0","0","0","0","0","0","0","E","D","-","-","-","9","20","-","-","-","Pierce","Barrage","2","4.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Black+Bow"
"Pulley Bow","Bow","77","0","0","0","0","100","0","0","0","0","0","0","0","0","D","D","-","-","-","11","11","-","-","-","Pierce","Mighty Shot","6","5.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Pulley+Bow"
"Horn Bow","Bow","65","30","0","0","0","100","0","0","0","0","0","0","0","0","E","D","E","-","-","10","14","12","-","-","Pierce","Mighty Shot","6","4.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Horn+Bow"
"Serpent Bow","Bow","75","0","0","0","0","100","0","0","0","0","0","0","0","0","E","D","-","-","D","8","15","-","-","11","Pierce","Mighty Shot","6","3.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Serpent+Bow"
"Erdtree Bow","Bow","40","0","0","0","50","100","0","0","0","0","0","0","0","0","E","E","-","D","-","8","12","-","14","-","Pierce","Mighty Shot","6","4.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Erdtree+Bow"
"Ansbach's Longbow","Bow","74","0","0","0","0","100","0","0","0","0","0","0","0","0","E","D","-","-","-","9","43","-","-","-","Pierce","Fan Shot","0","4.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Ansbach's+Longbow"
"Greatbow","Greatbow","125","0","0","0","0","100","0","0","0","0","0","0","0","0","D","D","-","-","-","20","20","-","-","-","Pierce","-","-","10","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Greatbow"
"Golem Greatbow","Greatbow","130","0","0","0","0","100","0","0","0","0","0","0","0","0","D","E","-","-","-","24","18","-","-","-","Pierce","Through and Through","9","14.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Golem+Greatbow"
"Erdtree Greatbow","Greatbow","60","0","0","0","65","100","0","0","0","0","0","0","0","0","E","E","-","D","-","20","14","-","14","-","Pierce","Through and Through","9","11","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Erdtree+Greatbow"
"Lion Greatbow","Greatbow","120","0","0","0","0","100","0","0","0","0","0","0","0","0","D","D","-","-","-","22","18","-","-","-","Pierce","Radahn's Rain","32","9.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Lion+Greatbow"
"Igon's Greatbow","Greatbow","120","0","0","0","0","100","0","0","0","0","0","0","0","0","D","E","-","-","-","23","16","-","-","-","Pierce","Through and Through","13","12.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Igon's+Greatbow"
"Soldier's Crossbow","Crossbow","54","0","0","0","0","100","0","0","0","0","0","0","0","0","-","-","-","-","-","10","8","-","-","-","Pierce","Kick","0","3.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Soldier's+Crossbow"
"Light Crossbow","Crossbow","58","0","0","0","0","100","0","0","0","0","0","0","0","0","-","-","-","-","-","12","8","-","-","-","Pierce","Kick","0","4.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Light+Crossbow"
"Heavy Crossbow","Crossbow","64","0","0","0","0","100","0","0","0","0","0","0","0","0","-","-","-","-","-","14","10","-","-","-","Pierce","Kick","0","5.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Heavy+Crossbow"
"Arbalest","Crossbow","69","0","0","0","0","100","0","0","0","0","0","0","0","0","-","-","-","-","-","18","12","-","-","-","Pierce","Kick","0","6.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Arbalest"
"Crepus's Black-Key Crossbow","Crossbow","68","0","0","0","0","100","0","0","0","0","0","0","0","0","-","-","-","-","-","14","16","-","-","-","Pierce","Kick","0","5.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Crepus's+Black-Key+Crossbow"
"Pulley Crossbow","Crossbow","65","0","0","0","0","100","0","0","0","0","0","0","0","0","-","-","-","-","-","16","16","-","-","-","Pierce","Kick","0","4.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Pulley+Crossbow"
"Full Moon Crossbow","Crossbow","50","50","0","0","0","100","0","0","0","0","0","0","0","0","-","-","-","-","-","10","10","14","-","-","Pierce","Kick","0","4.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Full+Moon+Crossbow"
"Repeating Crossbow","Crossbow","74","0","0","0","0","100","0","0","0","0","0","0","0","0","-","-","-","-","-","13","15","-","-","-","Pierce","Repeating Fire","26","6.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Repeating+Crossbow"
"Spread Crossbow","Crossbow","68","0","0","0","0","100","0","0","0","0","0","0","0","0","-","-","-","-","-","11","17","-","-","-","Pierce","Kick","0","5.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Spread+Crossbow"
"Hand Ballista","Ballista","135","0","0","0","0","100","0","0","0","0","0","0","0","0","-","-","-","-","-","30","14","-","-","-","Pierce","Kick","0","10.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Hand+Ballista"
"Jar Cannon","Ballista","192","0","0","0","0","100","0","0","0","0","0","0","0","0","-","-","-","-","-","34","12","-","-","-","Pierce","Kick","0","15.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Jar+Cannon"
"Rabbath's Cannon","Ballista","135","135","0","0","0","100","0","0","0","0","0","0","0","0","-","-","-","-","-","28","16","-","-","-","Pierce","Kick","0","15.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Rabbath's+Cannon"
"Astrologer's Staff","Glintstone Staff","25","0","0","0","0","100","116","0","25","15","15","15","15","15","E","-","C","-","-","7","-","16","-","-","Strike","No Skill","0","3.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Astrologer's+Staff"
"Glintstone Staff","Glintstone Staff","25","0","0","0","0","100","116","0","25","15","15","15","15","15","E","-","C","-","-","6","-","10","-","-","Strike","No Skill","0","3.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Glintstone+Staff"
"Academy Glintstone Staff","Glintstone Staff","25","0","0","0","0","100","130","0","25","15","15","15","15","15","E","-","B","-","-","6","-","28","-","-","Strike","No Skill","0","3","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Academy+Glintstone+Staff"
"Digger's Staff","Glintstone Staff","38","0","0","0","0","100","141","0","28","17","17","17","17","17","D","-","C","-","-","8","-","12","-","-","Strike","No Skill","0","4.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Digger's+Staff"
"Demi-Human Queen's Staff","Glintstone Staff","31","0","0","0","0","0","146","0","25","15","15","15","15","15","D","-","C","-","-","6","-","10","-","-","Strike","No Skill","0","3.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Demi-Human+Queen's+Staff"
"Azur's Glintstone Staff","Glintstone Staff","24","0","0","0","0","100","161","0","25","15","15","15","15","15","D","-","B","-","-","10","-","52","-","-","Strike","No Skill","0","4.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Azur's+Glintstone+Staff"
"Lusat's Glintstone Staff","Glintstone Staff","24","0","0","0","0","100","179","0","25","15","15","15","15","15","D","-","B","-","-","10","-","52","-","-","Strike","No Skill","0","4.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Lusat's+Glintstone+Staff"
"Carian Glintstone Staff","Glintstone Staff","25","0","0","0","0","100","163","0","25","15","15","15","15","15","E","-","C","-","-","6","8","24","-","-","Strike","No Skill","0","3","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Carian+Glintstone+Staff"
"Carian Glintblade Staff","Glintstone Staff","22","0","0","0","0","100","131","0","23","14","14","14","14","14","E","E","C","-","-","6","12","22","-","-","Strike","No Skill","0","2.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Carian+Glintblade+Staff"
"Carian Regal Scepter","Glintstone Staff","24","0","0","0","0","100","162","0","25","15","15","15","15","15","E","E","B","-","-","8","10","60","-","-","Strike","Spinning Weapon","20","3","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Carian+Regal+Scepter"
"Albinauric Staff","Glintstone Staff","17","0","0","0","0","100","0","0","23","14","14","14","14","14","E","-","D","-","C","6","-","10","-","12","Strike","No Skill","0","2.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Albinauric+Staff"
"Staff of Loss","Glintstone Staff","22","0","0","0","0","100","154","0","23","14","14","14","14","14","E","E","C","-","-","6","12","14","-","-","Strike","No Skill","0","2.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Staff+of+Loss"
"Gelmir Glintstone Staff","Glintstone Staff","29","0","0","0","0","100","0","0","23","14","14","14","14","14","E","-","D","D","-","6","-","14","14","-","Strike","No Skill","0","2.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Gelmir+Glintstone+Staff"
"Crystal Staff","Glintstone Staff","31","0","0","0","0","100","168","0","28","17","17","17","17","17","D","-","B","-","-","8","-","48","-","-","Strike","No Skill","0","4.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Crystal+Staff"
"Rotten Crystal Staff","Glintstone Staff","42","0","0","0","0","100","168","0","28","17","17","17","17","17","D","-","B","-","-","8","-","48","-","-","Strike","No Skill","0","4.5","Boosts Crystalian Sor.","-","-","-","50","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Rotten+Crystal+Staff"
"Meteorite Staff","Glintstone Staff","39","0","0","0","0","0","138","0","28","17","17","17","17","17","D","-","S","-","-","6","-","18","-","-","Strike Damage","No Skill","0","4.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Meteorite+Staff"
"Staff of the Guilty","Glintstone Staff","38","0","0","0","0","100","127","0","28","17","17","17","17","17","D","-","-","C","-","8","-","-","12","-","Strike","No Skill","0","4.5","Boosts Thorn Sorcery","-","45","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Staff+of+the+Guilty"
"Prince of Death's Staff","Glintstone Staff","25","0","0","0","0","100","144","0","25","15","15","15","15","15","E","-","D","D","-","6","-","18","18","-","Strike","No Skill","0","3.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Prince+of+Death's+Staff"
"Staff of the Great Beyond","Glintstone Staff","27","0","0","0","0","100","114","0","26","16","16","16","16","15","E","-","D","D","-","7","-","25","25","-","Strike","No Skill","0","2.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Staff+of+the+Great+Beyond"
"Maternal Staff","Glintstone Staff","26","0","0","0","0","100","144","0","22","14","14","14","14","13","E","-","D","-","D","7","-","21","-","21","Strike","No Skill","0","2.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Maternal+Staff"
"Finger Seal","Sacred Seal","25","0","0","0","0","100","0","114","25","15","15","15","15","15","E","-","-","C","-","4","-","-","10","-","Strike","No Skill","0","1.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Finger+Seal"
"Erdtree Seal","Sacred Seal","25","0","0","0","15","100","0","60","25","15","15","15","15","15","-","-","-","C","-","-","-","-","40","-","Strike","No Skill","0","0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Erdtree+Seal"
"Golden Order Seal","Sacred Seal","24","0","0","0","0","100","0","60","25","15","15","15","15","15","-","-","D","D","-","-","-","17","17","-","Strike","No Skill","0","0.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Golden+Order+Seal"
"Gravel Stone Seal","Sacred Seal","25","0","0","0","0","100","0","60","25","15","15","15","15","15","E","-","-","C","-","4","-","-","18","-","Strike","No Skill","0","1.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Gravel+Stone+Seal"
"Giant's Seal","Sacred Seal","25","0","0","0","0","100","0","0","25","15","15","15","15","15","E","-","-","C","-","4","-","-","14","-","Strike","No Skill","0","1.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Giant's+Seal"
"Godslayer's Seal","Sacred Seal","25","0","0","0","0","100","0","129","25","15","15","15","15","15","E","-","-","C","-","4","-","-","27","-","Strike","No Skill","0","1.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Godslayer's+Seal"
"Clawmark Seal","Sacred Seal","31","0","0","0","0","100","0","60","25","15","15","15","15","15","D","-","-","D","-","4","-","-","10","-","Strike","No Skill","0","1.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Clawmark+Seal"
"Frenzied Flame Seal","Sacred Seal","25","0","0","0","0","100","0","0","25","15","15","15","15","15","E","E","E","D","-","-","-","-","-","-","Strike","No Skill","0","0","Boosts Frenzied Flame Incantations","-","-","-","-","-","55","-","Somber","https://eldenring.wiki.fextralife.com/Frenzied+Flame+Seal"
"Dragon Communion Seal","Sacred Seal","25","0","0","0","0","100","0","106","25","15","15","15","15","15","-","-","-","D","C","-","-","-","10","10","Strike","No Skill","0","0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Dragon+Communion+Seal"
"Dryleaf Seal","Sacred Seal","25","0","0","0","0","100","0","172","25","15","15","15","15","15","E","-","-","C","-","8","-","-","27","-","Strike","No Skill","0","1.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Dryleaf+Seal"
"Fire Knight's Seal","Sacred Seal","25","0","0","0","0","100","0","172","25","15","15","15","15","15","E","-","-","C","-","8","-","-","23","-","Strike","No Skill","0","1.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Fire+Knight's+Seal"
"Spiraltree Seal","Sacred Seal","25","0","0","0","0","100","0","170","25","15","15","15","15","15","E","-","-","C","-","8","-","-","17","-","Strike","No Skill","0","1.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Spiraltree+Seal"
"Torch","Torch","54","0","97","0","0","100","0","0","21","15","25","15","15","19","D","D","-","-","-","5","5","-","-","-","Strike","Torch Attack","0","1.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Torch"
"Beast-Repellent Torch","Torch","58","0","104","0","0","100","0","0","23","17","28","17","17","19","C","E","-","-","-","12","8","-","-","-","Strike","Torch Attack","0","2.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Beast-Repellent+Torch"
"Steel-Wire Torch","2.5","61","0","109","0","0","100","0","0","25","18","30","18","18","19","D","C","-","-","-","10","8","-","-","-","Strike","Firebreather","8","3.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Steel-Wire+Torch"
"Sentry's Torch","Torch","56","0","0","0","100","100","0","0","30","21","21","21","36","22","D","E","-","D","-","15","8","-","15","-","Strike","Torch Attack","0","5.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Sentry's+Torch"
"Ghostflame Torch","Torch","50","90","0","0","0","100","0","0","21","42","13","13","13","19","E","E","D","-","-","10","10","14","-","-","Strike","Torch Attack","0","2.5","-","-","-","65","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Ghostflame+Torch"
"St. Trina's Torch","Torch","51","0","91","0","0","100","0","0","25","15","40","15","15","20","E","D","-","D","-","10","10","-","14","-","Strike","Fires of Slumber","15","3.0","-","-","-","-","-","72","-","-","Somber","https://eldenring.wiki.fextralife.com/St+Trina's+Torch"
"Lamenting Visage","Torch","71","0","0","0","0","100","0","0","29","17","17","17","17","48","B","-","-","-","-","9","-","-","-","-","Strike","Blindfold of Happiness","10","2.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Lamenting+Visage"
"Nanaya's Torch","Torch","55","0","99","0","0","100","0","0","25","18","30","18","18","20","E","E","E","E","-","10","10","14","16","-","Strike","Feeble Lord's Frenzied Flame","3","3.5","-","-","-","-","-","-","65","-","Somber","https://eldenring.wiki.fextralife.com/Nanaya's+Torch"
"Beast Claw","Beast Claw","98","0","0","0","0","100","0","0","35","20","20","20","20","20","D","D","-","-","-","13","11","-","-","-","Slash","Savage Claws","13","3.0","-","-","45","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Beast+Claw+(Weapon)"
